YEAR_MONTH,FISCAL_YEAR,BRAND,BRAND_QUALITY_SIZE,SALES_CHANNEL,VOLUME_IN_L,NET_SALES,COGS
201910,2020,brand_f,,off_trade,39128.337,245134.93,70663.53
202209,2023,brand_b,,off_trade,77880.465,326662.32,119998.14
202301,2023,brand_b,,off_trade,50310.513,263145.95,78509.35
202209,2023,brand_i,,on_trade,7243.785,92378.07,32558.76
202301,2023,brand_e,,off_trade,44607.555,490365.55,101034.29
201908,2020,brand_k,,on_trade,6006.375,209294.92,42512.89
201911,2020,brand_j,,on_trade,27182.394,237316.83,48111.38
202007,2021,brand_g,,on_trade,12411.333,62416.2,23812.46
202103,2021,brand_d,,on_trade,1147.5,1899.05,2228.35
201904,2019,brand_k,,off_trade,2818.773,108726.45,20536.61
201905,2019,brand_k,,off_trade,2863.773,94601.27,20864.48
202101,2021,brand_c,,off_trade,207010.737,659812.4,397703.86
202203,2022,brand_a,,off_trade,435978.153,1852033.96,677626.66
202211,2023,brand_b,,on_trade,96374.169,274091.51,144788.91
201807,2019,brand_h,,off_trade,203901.138,1016794.91,262624.6
202102,2021,brand_k,,on_trade,807.498,23257.68,5847.26
202002,2020,brand_d,,off_trade,989121.519,3170478.04,2067299.82
201812,2019,brand_g,,off_trade,310519.521,2286602.68,600850.08
201810,2019,brand_d,,off_trade,1532799.693,4740763.72,3337416.93
202003,2020,brand_c,,off_trade,769187.052,2268443.52,1481267.16
202202,2022,brand_c,,off_trade,508284,1676841.69,1110407.65
202301,2023,brand_l,,on_trade,2400.003,20226.27,7945.41
201910,2020,brand_j,,on_trade,19143.603,166300.3,33851.15
202005,2020,brand_j,,on_trade,-79.803,-4393.24,-140.78
202111,2022,brand_m,,on_trade,3994.911,83139.42,13629.54
202112,2022,brand_m,,on_trade,1207.971,31429.54,3517.01
202205,2022,brand_e,,on_trade,1909.188,50027.29,5975.82
202104,2021,brand_d,,on_trade,4167,13342.41,8093.06
202203,2022,brand_i,,on_trade,8190.171,96328.06,35560.32
202204,2022,brand_i,,on_trade,13664.367,164224.08,58741.21
201905,2019,brand_c,,off_trade,714950.856,2059601.82,1401469.24
202109,2022,brand_g,,off_trade,363931.974,2995820.07,724213.64
